early epidermal progenitors
activated early epidermal progenitors
epidermal neoblasts
epidermis
epidermis DVb
epidermis DVb neoblast
glia
phagocytes
goblet cells
psd+ cells
gut progenitors
late epidermal progenitors 1
late epidermal progenitors 2
muscle body
muscle pharynx
muscle progenitors
neoblast 1
neoblast 2
neoblast 3
neoblast 4
neoblast 5
neoblast 6
neoblast 7
neoblast 8
neoblast 9
neoblast 10
neoblast 11
neoblast 12
neoblast 13
ChAT neurons 1
ChAT neurons 2
GABA neurons
otf+ cells 1
otf+ cells 2
spp-11+ neurons
npp-18+ neurons
cav-1+ neurons
neural progenitors
pharynx cell type progenitors
pgrn+ parenchymal cells
ldlrr-1+ parenchymal cells
psap+ parenchymal cells
aqp+ parenchymal cells
parenchymal progenitors
pharynx cell type
pigment
protonephridia
secretory 1
secretory 2
secretory 3
secretory 4
