lat,lng
43.3713,-8.4188
50.7762,6.0838
57.0337,9.9166
5.1167,7.3667
6.3249,8.1137
53.7167,91.4167
49.05,-122.3167
7.15,3.35
57.15,-2.11
35.8642,140.0282
32.4543,-99.7384
30.1204,74.29
24.4781,54.3686
9.0556,7.4914
9.5597,-69.2019
5.6037,-0.187
56.2817,90.5039
37,35.325
-34.9289,138.6011
12.8,45.0333
38.7581,30.5386
30.4167,-9.5833
23.8333,91.2667
21.876,-102.296
19.0833,74.7333
26.468,74.639
35.7056,139.3536
39.7197,140.1025
20.7333,77
41.0798,-81.5219
38.3686,34.0297
41.1664,80.25
7.25,5.195
-12.1356,-38.4192
36.5436,31.9997
38.9956,-1.8558
-26.2672,28.1219
35.1053,-106.6464
-36.0806,146.9158
36.2,37.15
31.2,29.9167
31.2923,-92.4702
36.1267,-5.4665
36.7764,3.0586
40.5961,-75.4756
43.25,76.9
36.8333,-2.45
54.9,52.3
6.1167,100.3667
47.8666,88.1166
27.5667,76.6167
38.75,-9.2333
35.1988,-101.8311
-1.2417,-78.6197
-3.705,128.17
-22.7392,-47.3314
49.892,2.299
31.6167,74.85
52.35,4.9166
9.4333,-64.4667
33.839,-117.8572
14.6833,77.6
61.1508,-149.1091
43.6167,13.5167
46.4078,125.3252
40.7,72.35
52.5667,103.9167
47.4736,-0.5542
41.0167,70.1333
32.6877,109.0235
39.93,32.85
42.2755,-83.7312
30.5,117.0333
36.3619,119.1072
41.1066,122.9895
26.2456,105.934
36.9081,30.6956
-18.9386,47.5214
42.4742,-88.0721
14.5842,121.1763
-23.6464,-70.398
-19.8667,47.0333
51.2211,4.3997
-16.3269,-48.9528
-23.55,-51.47
50.3,57.1667
-10.9111,-37.0717
46.1667,21.3167
-7.19,-48.21
-9.7525,-36.6611
-21.7939,-48.1758
-22.3569,-47.3839
-21.2089,-50.4328
-16.3988,-71.5369
-18.4784,-70.3211
64.55,40.5333
35.2594,-89.668
45,41.1167
4.5389,-75.6725
51.988,5.923
-3.3667,36.6833
39.8321,-105.1511
55.3833,43.8
43.7706,142.365
31.7978,34.6503
31.6658,34.5664
15.3333,38.9167
46.3333,48.0167
-25.3,-57.6333
37.9794,23.7161
-23.1172,-46.5506
33.1136,-94.1672
-36.85,174.7833
48.3717,10.8983
36.9674,-93.7183
43.6718,-92.9783
6.2,7.0667
-13.1631,-74.2244
11.6804,10.19
10.6765,122.9509
14.4624,120.9645
38.8803,-6.9753
41.4333,2.2333
5.4667,10.4167
33.35,44.4167
17.3433,96.4981
24.1,88.25
29.3956,71.6722
11.585,37.39
47.6597,23.5819
23.901,106.6194
36.5448,104.1766
35.3529,-119.0359
40.3667,49.8352
52.039,47.7839
55.8,37.95
-1.1489,116.9031
39.3051,-76.6144
11.5204,13.69
12.6458,-7.9922
5.9333,10.1667
5.55,95.3175
-6.95,107.5667
12.9699,77.598
23.07,88.82
13.75,100.5167
4.3732,18.5628
44.7667,17.1833
-3.3333,114.5833
-8.195,114.3696
38.8671,115.4845
25.1211,99.169
-21.2258,-43.7739
41.3825,2.1769
10.1333,-64.6833
41.1253,16.8667
8.6333,-70.2167
53.3567,83.7872
10.0678,-69.3467
-22.56,-44.17
7.09,-73.85
10.96,-74.8
-12.1528,-44.99
-20.5569,-48.5678
44.3711,-79.6769
-23.5111,-46.8764
47.5606,7.5906
51.5761,0.4886
32.0231,34.7503
1.85,9.75
13.75,121.05
47.1333,39.75
37.8833,41.1333
30.4418,-91.131
10.3158,9.8442
-22.3147,-49.0606
20.3817,-76.6428
33.9076,-116.9766
25.42,86.13
48.2395,126.5037
21.4667,109.1
41.802,120.7621
-19.8333,34.85
33.8869,35.5131
-6.2333,107
54.5964,-5.93
15.8667,74.5
50.6,36.6
44.8167,20.4667
15.15,76.915
40.4945,-80.055
6.33,-75.57
-19.8917,-43.9478
-1.4558,-48.5039
32.9354,117.3531
32.1167,20.0667
-3.7956,102.2592
-12.55,13.4167
-26.1883,28.3206
41.292,123.761
33.2847,131.4911
59.4167,56.7833
45.695,9.67
60.3925,5.3233
50.9917,7.1367
38.7439,-90.3361
52.5167,13.3833
46.948,7.4474
4.5833,13.6833
47.24,6.02
-26.45,29.45
22.82,88.35
27.2172,77.49
27.6833,84.4333
21.2167,81.4333
19.3,73.0667
23.2504,69.81
9.0804,6.01
52.0167,8.5333
49.7956,30.1167
43.2622,-2.9533
3.6,98.4853
3.17,113.03
37.3806,118.0125
-21.2889,-50.34
52.48,-1.9025
42.5447,-83.2166
12.4504,4.1999
1.4472,125.1978
52.5167,85.1667
10.9575,106.8426
53.748,-2.482
53.8142,-3.0503
55.0333,55.9833
-15.7861,35.0058
-8.1,112.15
-29.1,26.2167
-26.9189,-49.0658
2.82,-60.6719
51.4833,7.2167
-6.6,106.8
4.6126,-74.0705
44.4939,11.3428
53.578,-2.429
50.7339,7.0997
0.1333,117.5
44.84,-0.58
42.6528,-78.7555
51.5232,6.9253
-22.8858,-48.445
50.72,-1.88
33.8626,115.7742
53.8,-1.75
41.5333,-8.4167
-22.9189,-46.5425
19.32,84.8
-26.2353,28.37
-15.7744,-48.0773
48.1447,17.1128
56.1667,101.6167
53.1153,8.7975
53.55,8.5833
45.5389,10.2203
52.0847,23.6569
48.39,-4.49
41.1918,-73.1953
50.8429,-0.1313
-27.4678,153.0281
51.45,-2.5833
-25.6167,27.7667
35.589,-89.2578
50.8467,4.3517
53.25,34.3667
7.1186,-73.1161
44.4,26.0833
47.4983,19.0408
28.03,79.09
3.8724,-77.0505
42.9016,-78.8487
-3.3825,29.3611
5.3617,100.461
28.4104,77.8484
-20.1667,28.5667
26.3333,43.9667
41.7444,-87.7686
42.5,27.4667
42.35,-3.6822
40.1833,29.0667
5.3942,100.3664
8.9534,125.5288
53.1167,18
50.347,18.923
10.4,-71.4333
-22.8789,-42.0189
10.0331,-69.2633
10.9587,123.3086
49.18,-0.37
39.2224,9.104
10.1831,-67.45
-16.9303,145.7703
30.0561,31.2394
-7.1644,-78.5106
4.95,8.325
8.9219,-67.4283
-22.4624,-68.9272
51.05,-114.0667
3.44,-76.5197
11.9136,109.1369
21.3786,-77.9186
52.2053,0.1192
45.5612,-93.2283
19.85,-90.5306
-7.2306,-35.8811
-22.9009,-47.0573
-20.4686,-54.6222
-21.7523,-41.3304
-35.2931,149.1269
21.1606,-86.8475
38.3037,116.8452
-29.92,-51.18
5.1,-1.25
26.6446,-81.9956
-33.925,18.425
10.5,-66.9333
-23.5228,-46.8358
18.4054,-65.9792
18.5333,-72.4
36.9394,-76.5264
10.4236,-75.5253
37.6,-0.9819
4.75,-75.91
-8.28,-35.98
35.782,-78.8191
10.6722,-63.2403
33.5992,-7.62
-24.9558,-53.4553
-1.2939,-47.9264
-28.4686,-65.7792
-21.14,-48.98
37.5027,15.0873
10.6,-67.0333
-4.833,-43.35
41.9665,-91.6782
20.5222,-100.8122
19.2647,-98.8975
22.8,88.37
22.8667,88.3833
33.2826,-111.8516
43.9,125.2
29.0397,111.6839
31.8122,119.9692
41.5757,120.4486
23.67,116.63
-27.1,-52.64
